Plot,Lot.,Entry,SeedWt,testwt,pct.moisture,me,loc,notes
312,18-522,Sterling Gold,280,36,5.6,dual,CN North,
313,16-509,Tygra,440,43.6,5.1,dual,CN North,
314,18-521,Nebraska (feral),470,36,6.2,dual,CN North,
315,16-501,Futura 75,550,41.3,5.4,dual,CN North,
316,18-540,Hele,530,34.6,6.2,dual,CN North,
317,18-538,Tygra,450,38.6,5.9,dual,CN North,
401,16-509,Tygra,1020,44.5,5.2,dual,CN North,
402,18-521,Nebraska (feral),350,33.2,5.6,dual,CN North,
403,18-540,Hele,500,46.2,4.9,dual,CN North,
404,18-539,NWG-Elite,510,44.6,5,dual,CN North,
405,18-541,NWG-331,300,40.6,5.4,dual,CN North,
406,18-520,Rocky Hemp,160,24.8,6,dual,CN North,
407,18-535,Canda,500,38.8,5.6,dual,CN North,
408,NA,SC-1,350,33.1,5.7,dual,CN North,
409,18-538,Tygra,720,44.8,4.9,dual,CN North,
410,16-510,Wojko,490,43.7,5.2,dual,CN North,
411,16-502,Feli 32,700,45.1,5,dual,CN North,
412,18-555,Ferimon,520,44.1,5,dual,CN North,
413,18-522,Sterling Gold,200,26.3,6.2,dual,CN North,
414,16-501,Futura 75,950,38.7,6,dual,CN North,
415,17-517,Anka,720,36.7,6.3,dual,CN North,
416,18-534,Joey,800,43.1,5.6,dual,CN North,
417,16-508,Bialobrzeskie,640,43.6,5.3,dual,CN North,
101,16-508,Bialobrzeskie,542,42.1,5.5,dual,free,
102,17-517,Anka,831,39.9,5.5,dual,free,
103,18-540,Hele,454,40.9,5.6,dual,free,
104,18-522,Sterling Gold,1157,41.8,5.5,dual,free,
105,16-509,Tygra,263,36.7,5.8,dual,free,
106,18-538,Tygra,447,37.8,5.6,dual,free,
107,18-539,NWG-Elite,760,41.4,5.5,dual,free,
108,18-535,Canda,465,35.7,5.7,dual,free,
109,18-541,NWG-331,625,42.6,5.4,dual,free,
110,16-510,Wojko,443,38.4,5.5,dual,free,
111,18-534,Joey,421,39.1,5.6,dual,free,
112,16-502,Feli 32,671,41.7,5.5,dual,free,
113,18-555,Ferimon,325,38.8,5.7,dual,free,
114,18-521,Nebraska (feral),919,43.2,5.5,dual,free,
115,16-501,Futura 75,495,39.7,5.6,dual,free,
201,16-501,Futura 75,870,39,5.5,dual,free,
202,18-555,Ferimon,776,40.2,5.5,dual,free,
203,18-538,Tygra,562,39,5.4,dual,free,
204,17-517,Anka,934,37.6,5.5,dual,free,
205,18-541,NWG-331,663,38.8,5.7,dual,free,
206,18-540,Hele,877,40.6,5.4,dual,free,
207,18-521,Nebraska (feral),1051,42.4,5.5,dual,free,
208,16-508,Bialobrzeskie,317,33.2,5.8,dual,free,
209,16-510,Wojko,242,34.1,5.7,dual,free,
210,16-509,Tygra,324,35.3,5.7,dual,free,
211,18-539,NWG-Elite,388,40.8,5.5,dual,free,
212,18-522,Sterling Gold,1177,42.8,5.5,dual,free,
213,16-502,Feli 32,397,41.1,5.4,dual,free,
214,18-534,Joey,538,38,5.6,dual,free,
215,18-535,Canda,658,39.2,5.6,dual,free,
401,16-510,Wojko,60,NA,NA,dual,free,
402,18-541,NWG-331,109,NA,NA,dual,free,
403,16-508,Bialobrzeskie,39,NA,NA,dual,free,
404,18-522,Sterling Gold,641,43.7,5.5,dual,free,
405,18-521,Nebraska (feral),310,43.5,5.6,dual,free,
406,17-517,Anka,133,NA,NA,dual,free,
407,18-540,Hele,199,28.1,7.3,dual,free,
408,18-539,NWG-Elite,200,27.9,7,dual,free,
409,16-501,Futura 75,266,37.2,5.8,dual,free,
410,18-538,Tygra,102,NA,NA,dual,free,
411,16-502,Feli 32,198,27.9,7.3,dual,free,
412,18-534,Joey,202,28.4,7,dual,free,
413,18-555,Ferimon,254,35.6,6.1,dual,free,
414,16-509,Tygra,263,36.7,5.9,dual,free,
415,18-535,Canda,349,37.6,5.6,dual,free,
